2023-03-30T13:01:07.238Z	IN	NLHLXELAAD0002	127.0.0.1:57759	[3,"900007",{"status":"Accepted"}]
2023-03-30T13:01:07.242Z	IN	NLHLXELAAD0002	127.0.0.1:57759	[2,"ze45NNXSBwZMxRJ5q5qg5Hu3hdlxuN6kr1i4","BootNotification",{"chargePointModel":"TEST","chargePointVendor":"HLX","firmwareVersion":"4.7.0-rc.15","iccid":"8931081221054066560","imsi":"204080805317875"}]
2023-03-30T13:01:07.348Z	OUT	NLHLXELAAD0002	127.0.0.1:57759	[3,"ze45NNXSBwZMxRJ5q5qg5Hu3hdlxuN6kr1i4",{"status":"Accepted","currentTime":"2023-03-30T13:01:07.347Z","interval":300}]
2023-03-30T13:01:07.546Z	IN	NLHLXELAAD0002	127.0.0.1:57759	[2,"G8PHxpTn8ejrbQPXYAU7f7vQLu34nezvfI4T","StatusNotification",{"connectorId":0,"errorCode":"NoError","status":"Available","timestamp":"2023-03-30T13:01:08.126Z"}]
2023-03-30T13:01:07.659Z	OUT	NLHLXELAAD0002	127.0.0.1:57759	[3,"G8PHxpTn8ejrbQPXYAU7f7vQLu34nezvfI4T",{}]
2023-03-30T13:01:07.828Z	IN	NLHLXELAAD0002	127.0.0.1:57759	[2,"zQ70vhjP00oR08PY8BoKxkFbG7PlIK77b5yN","StatusNotification",{"connectorId":1,"errorCode":"NoError","status":"Available","timestamp":"2023-03-30T13:01:08.127Z"}]
2023-03-30T13:01:07.948Z	OUT	NLHLXELAAD0002	127.0.0.1:57759	[3,"zQ70vhjP00oR08PY8BoKxkFbG7PlIK77b5yN",{}]
2023-03-30T13:01:12.005Z	OUT	NLHLXELAAD0002	127.0.0.1:57759	[2,"900008","TriggerMessage",{"requestedMessage":"BootNotification"}]
2023-03-30T13:01:12.127Z	IN	NLHLXELAAD0002	127.0.0.1:57759	[3,"900008",{"status":"Accepted"}]
2023-03-30T13:01:12.202Z	IN	NLHLXELAAD0002	127.0.0.1:57759	[2,"faeWRJpKJ4iK7QVw0cQ8cgnmqlkKjcZH23eN","BootNotification",{"chargePointModel":"TEST","chargePointVendor":"HLX","firmwareVersion":"4.7.0-rc.15","iccid":"8931081221054066560","imsi":"204080805317875"}]
2023-03-30T13:01:12.329Z	OUT	NLHLXELAAD0002	127.0.0.1:57759	[3,"faeWRJpKJ4iK7QVw0cQ8cgnmqlkKjcZH23eN",{"status":"Accepted","currentTime":"2023-03-30T13:01:12.327Z","interval":300}]
2023-03-30T13:01:12.560Z	IN	NLHLXELAAD0002	127.0.0.1:57759	[2,"EMXPK8ZIPw6ISQKwwxafbBsDfIKbDqoJ3EYE","StatusNotification",{"connectorId":0,"errorCode":"NoError","status":"Available","timestamp":"2023-03-30T13:01:13.150Z"}]
2023-03-30T13:01:12.679Z	OUT	NLHLXELAAD0002	127.0.0.1:57759	[3,"EMXPK8ZIPw6ISQKwwxafbBsDfIKbDqoJ3EYE",{}]
2023-03-30T13:01:12.846Z	IN	NLHLXELAAD0002	127.0.0.1:57759	[2,"DzOSpOd7enuTdN06PjAwsMQx366zCX5FNMa4","StatusNotification",{"connectorId":1,"errorCode":"NoError","status":"Available","timestamp":"2023-03-30T13:01:13.150Z"}]
2023-03-30T13:01:12.964Z	OUT	NLHLXELAAD0002	127.0.0.1:57759	[3,"DzOSpOd7enuTdN06PjAwsMQx366zCX5FNMa4",{}]
2023-03-30T13:01:17.357Z	PING OUT	NLHLXELAAD0002	127.0.0.1:57759
2023-03-30T13:01:17.446Z	PONG IN	NLHLXELAAD0002	127.0.0.1:57759
2023-03-30T13:01:17.809Z	OUT	NLHLXELAAD0002	127.0.0.1:57759	[2,"900009","TriggerMessage",{"requestedMessage":"BootNotification"}]
2023-03-30T13:01:17.976Z	IN	NLHLXELAAD0002	127.0.0.1:57759	[3,"900009",{"status":"Accepted"}]
2023-03-30T13:01:18.062Z	IN	NLHLXELAAD0002	127.0.0.1:57759	[2,"a526jqSF3MCLvEBgQRWMPTCRs7Y8N03nwznY","BootNotification",{"chargePointModel":"TEST","chargePointVendor":"HLX","firmwareVersion":"4.7.0-rc.15","iccid":"8931081221054066560","imsi":"204080805317875"}]
2023-03-30T13:01:18.179Z	OUT	NLHLXELAAD0002	127.0.0.1:57759	[3,"a526jqSF3MCLvEBgQRWMPTCRs7Y8N03nwznY",{"status":"Accepted","currentTime":"2023-03-30T13:01:18.178Z","interval":300}]
2023-03-30T13:01:18.376Z	IN	NLHLXELAAD0002	127.0.0.1:57759	[2,"g7fcKhq6lrf4B2HQOKj7KB6X30EtqtIProu2","StatusNotification",{"connectorId":0,"errorCode":"NoError","status":"Available","timestamp":"2023-03-30T13:01:18.962Z"}]
2023-03-30T13:01:18.497Z	OUT	NLHLXELAAD0002	127.0.0.1:57759	[3,"g7fcKhq6lrf4B2HQOKj7KB6X30EtqtIProu2",{}]
2023-03-30T13:01:18.679Z	IN	NLHLXELAAD0002	127.0.0.1:57759	[2,"Ob12LXxMS4fjFHhSIgpDZvwJf6YOnJH2mBxx","StatusNotification",{"connectorId":1,"errorCode":"NoError","status":"Available","timestamp":"2023-03-30T13:01:18.962Z"}]
2023-03-30T13:01:18.796Z	OUT	NLHLXELAAD0002	127.0.0.1:57759	[3,"Ob12LXxMS4fjFHhSIgpDZvwJf6YOnJH2mBxx",{}]
2023-03-30T13:01:21.454Z	OUT	NLHLXELAAD0002	127.0.0.1:57759	[2,"900010","TriggerMessage",{"requestedMessage":"BootNotification"}]
2023-03-30T13:01:21.627Z	IN	NLHLXELAAD0002	127.0.0.1:57759	[3,"900010",{"status":"Accepted"}]
